player_id,player_name,primary_position,team_name,competition_name,goals_per90_scaled,assists_per90_scaled,shots_per90_scaled,shots_on_target_per90_scaled,xg_per90_scaled,passes_attempted_per90_scaled,passes_completed_per90_scaled,progressive_passes_per90_scaled,dribbles_attempted_per90_scaled,dribbles_completed_per90_scaled,carries_per90_scaled,tackles_per90_scaled,tackles_won_per90_scaled,interceptions_per90_scaled,pressures_per90_scaled,aerial_duels_per90_scaled,aerial_duels_won_per90_scaled,duels_per90_scaled,duels_won_per90_scaled,pass_accuracy_scaled,dribble_success_rate_scaled,tackle_success_rate_scaled,aerial_success_rate_scaled,duel_success_rate_scaled
4633,Magdalena Lilly Eriksson,Left Center Back,Chelsea FCW,FA Women's Super League,-0.1333,-0.3064,0.1353,-0.2105,0.2905,1.7926,1.7942,2.2668,-0.8553,-0.7743,1.3801,-0.6253,-0.5339,-0.32,-1.2,-0.1327,0.0,-0.5222,-0.5339,0.8113,0.5029,-0.1182,0.0,-0.3161
4636,Maria Thorisdottir,Right Center Midfield,Chelsea FCW,FA Women's Super League,-0.1827,-0.1379,-0.4148,-0.3468,-0.4096,1.1117,0.9738,1.0969,-0.0039,0.2255,0.8334,-0.4985,0.0036,0.0022,-0.9634,-0.3737,0.0,-0.6224,0.0036,0.2714,0.6823,0.8257,0.0,0.6368
4638,Drew Spence,Left Center Midfield,Chelsea FCW,FA Women's Super League,0.2623,0.3675,1.1545,0.958,0.8633,0.0507,0.0908,0.0017,-0.0738,0.0341,0.3391,0.2469,0.7684,-0.0311,0.2457,-0.3476,0.0,-0.1015,0.7684,0.3561,0.461,0.7778,0.0,0.9814
4640,Rut Hedvig Lindahl,Goalkeeper,Chelsea FCW,FA Women's Super League,-0.4794,-0.4748,-0.938,-0.7168,-0.6641,-0.4023,-0.4245,-0.0698,-0.9188,-0.8274,-0.8087,-1.3334,-0.9267,-1.1531,-1.8147,-1.0054,0.0,-1.6693,-0.9267,-0.2156,1.5912,-1.0382,0.0,-0.9172
4641,Francesca Kirby,Left Center Forward,Chelsea FCW,FA Women's Super League,2.8335,2.7259,1.9572,2.5549,2.1361,-0.148,-0.0758,-0.2794,0.9745,1.1082,0.6972,-0.3867,-0.0791,-0.3422,0.3813,-0.4127,0.0,-0.5773,-0.0791,0.3772,0.4401,0.4664,0.0,0.4462
4642,Millie Bright,Center Back,Chelsea FCW,FA Women's Super League,-0.1827,-0.0817,-0.1533,-0.3468,-0.2186,2.086,2.0824,2.588,-0.6647,-0.5403,2.0062,-0.3047,-0.0584,0.391,-1.087,-0.5169,0.0,-0.6024,-0.0584,0.8642,0.7241,0.3657,0.0,0.4902
4647,So-Yun Ji,Center Midfield,Chelsea FCW,FA Women's Super League,1.0534,0.199,1.3259,0.919,0.3541,1.5839,1.6782,1.5136,0.7584,1.0019,2.1856,0.2842,0.9958,-0.1533,0.1126,-0.3476,0.0,-0.0764,0.9958,0.9913,0.5627,0.9599,0.0,1.1866
4657,Anita Amma Ankyewah Asante,Center Back,Chelsea FCW,FA Women's Super League,-0.2322,-0.1941,-0.7666,-0.6195,-0.6005,-0.5692,-0.3809,-0.2922,-0.3026,-0.1042,-0.5952,0.4705,0.0656,1.0576,-0.3036,-0.4713,0.0,-0.0414,0.0656,0.6631,0.7361,-0.099,0.0,0.1604
4659,Ramona Bachmann,Right Center Forward,Chelsea FCW,FA Women's Super League,0.6579,1.7152,1.5514,1.5617,1.3724,-0.1738,-0.2326,-0.4632,1.7686,2.0229,0.8115,-0.2078,0.4377,-0.4644,0.128,-0.5234,0.0,-0.5422,0.4377,-0.1839,0.5029,0.9982,0.0,1.1939
4660,Erin Cuthbert,Right Center Midfield,Chelsea FCW,FA Women's Super League,0.7567,1.9959,1.5874,1.289,1.1178,0.1693,-0.0568,-0.1067,0.7267,1.0551,0.7206,1.1787,1.6366,0.18,0.9757,-0.1392,0.0,0.69,1.6366,-0.5438,0.6554,0.6963,0.0,0.996
